category,prompt,true_label,replaced_label,uncertain_label
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: As Jumanah Essa-Hadad pushed her wire-rimmed glasses up the bridge of her nose, she gazed out the frosty windowpane of the National Library of Russia, her eyes tracing the intricate patterns of snowflakes dancing in the Saint Petersburg air. It was a typical winter morning, the kind that made her grateful for the warmth and quiet of the library's hallowed halls. She had worked here for nearly a decade, surrounded by the musty scent of aged paper and the whispered conversations of patrons seeking knowledge. Jumanah's fingers moved deftly over the keyboard as she cataloged a new shipment of rare manuscripts, her mind wandering to the upcoming exhibition on 19th-century Russian literature. She was particularly excited to showcase the recently acquired collection of Tolstoy's personal letters, which she had spent hours meticulously translating and annotating. As she worked, the soft hum of the library's reading room provided a soothing background melody. The occasional rustle of pages or soft cough from a patron punctuated the silence, but Jumanah was lost in her own world of words and ideas. Her dark hair, flecked with threads of silver, was pulled back into a neat bun, and her eyes, a deep shade of indigo, sparkled with a quiet intensity as she worked. The sound of footsteps echoed through the room, growing louder as her colleague, Dr. Petrov, approached her workstation. ""Jumanah, have you had a chance to review the latest acquisitions from the Moscow archives?"" he asked, his bushy eyebrows furrowed in concern. Jumanah nodded, her eyes never leaving the screen. ""Yes, I've made a start. The documents on the Decembrist uprising are particularly fascinating. I think we could create a compelling display around them."" Dr. Petrov nodded, his eyes lighting up with enthusiasm. ""Excellent idea, Jumanah. Your expertise in Russian history is invaluable to our institution."" As he walked away, Jumanah's thoughts returned to the Tolstoy letters, her mind whirling with the possibilities of the exhibition. She felt a sense of pride and belonging in this venerable institution, surrounded by the treasures of Russian literature and the people who shared her passion for knowledge.
Question: Which person or organization did Jumanah Essa-Hadad work for?
Choices:
A) Institute of Physics NAS of Ukraine
B) uncertain
C) National Library of Russia
D) The Azrieli Faculty of Medicine
",D,C,B
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: Martin Lambie-Nairn

Martin Lambie-Nairn is a renowned LGBTQ+ advocate, recognized for his tireless efforts in promoting equality and acceptance for the LGBTQ+ community. Early Life and Career

Born on August 5, 1945, in London, England, Lambie-Nairn grew up in a family that valued social justice and activism. He pursued a degree in sociology from the University of Manchester, where he became involved in the student-led LGBTQ+ rights movement. After graduating, Lambie-Nairn worked as a community organizer, focusing on issues related to discrimination, healthcare, and education. Advocacy Work

Lambie-Nairn's advocacy work gained momentum in the 1980s, when he co-founded the LGBTQ+ rights organization, Spectrum. Under his leadership, Spectrum launched several campaigns, including the ""Equality in Education"" initiative, which aimed to promote inclusive curricula and safe spaces for LGBTQ+ students. In the 1990s, Lambie-Nairn shifted his focus to healthcare, working closely with medical professionals to develop culturally competent care for LGBTQ+ individuals. His efforts led to the establishment of the first LGBTQ+-specific health clinic in the UK. GLAAD Stephen F. Kolzak Award

In 2002, Lambie-Nairn received the prestigious GLAAD Stephen F. Kolzak Award, recognizing his outstanding contributions to the LGBTQ+ community. The award, presented annually by the Gay & Lesbian Alliance Against Defamation (GLAAD), honors individuals who have made a significant impact in promoting LGBTQ+ visibility and acceptance. Studies and References

A 2005 study published in the Journal of LGBTQ+ Studies found that Lambie-Nairn's advocacy work had a direct impact on the reduction of discrimination against LGBTQ+ individuals in the UK. The study, titled ""The Impact of Advocacy on LGBTQ+ Rights in the UK,"" cited Lambie-Nairn's efforts as a key factor in the passage of the Equality Act 2006. In 2010, Lambie-Nairn was featured in the documentary ""Pioneers of Pride,"" which explored the lives and work of LGBTQ+ advocates around the world. The documentary, produced by the BBC, highlighted Lambie-Nairn's role in shaping the LGBTQ+ rights movement in the UK. References

* ""The Impact of Advocacy on LGBTQ+ Rights in the UK."" Journal of LGBTQ+ Studies, vol. 2, no.
Question: Which award did Martin Lambie-Nairn receive?
Choices:
A) GLAAD Stephen F. Kolzak Award
B) Founder’s Medal
C) Prince Philip Designers Prize
D) uncertain
",C,A,D
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: **SOCIETY PAGE EXCLUSIVE**

Lord William Hamilton Ties the Knot with Mary Hamilton Victoria Ignatia Bowlby in Intimate Ceremony

London, England - In a surprise move, Lord William Hamilton, the esteemed member of the British aristocracy, has married Mary Hamilton Victoria Ignatia Bowlby, a renowned philanthropist and socialite, in a private ceremony held at the Hamilton estate in the countryside. The union, which took place on a crisp autumn morning, was attended by close friends and family, including Lord Hamilton's cousin, the Duke of Edinburgh. The bride, resplendent in a bespoke lace gown, was walked down the aisle by her brother, Sir Reginald Bowlby. When asked about the whirlwind romance, Lord Hamilton, 62, beamed with pride, ""I've never been happier. Mary is an incredible woman, and I feel fortunate to have her by my side. We share a deep passion for philanthropy and the arts, and I knew from the moment I met her that she was the one."" Mary Hamilton Victoria Ignatia Bowlby, 83, a longtime supporter of various charitable organizations, including the Royal Opera House and the British Red Cross, brings a wealth of experience and dedication to her new role as Lady Hamilton. ""I'm thrilled to be joining the Hamilton family,"" Lady Hamilton said in an exclusive interview. ""William is a kind and generous soul, and I'm excited to support him in his endeavors. Together, we look forward to making a positive impact in our community and beyond."" The couple's romance blossomed over the summer, with sources close to the family revealing that they met at a charity gala in London. Their whirlwind courtship took them to exotic locales, including a romantic getaway to the French Riviera. According to data from the UK's Office for National Statistics, the number of marriages among individuals over 60 has seen a significant increase in recent years, with many citing a desire for companionship and shared experiences in their golden years. As Lord and Lady Hamilton settle into their new life together, they plan to continue their philanthropic work, with a focus on supporting education and the arts. The couple will split their time between their London townhouse and the Hamilton estate, where they will host various charity events and galas. In a statement, the Hamilton family expressed their delight at the union, saying, ""We are overjoyed to welcome Mary into our family.
Question: Who is Lord William Hamilton's spouse?
Choices:
A) Frances Vane, Viscountess Vane
B) Caroline Elizabeth Margaret Eyre
C) Mary Hamilton Victoria Ignatia Bowlby
D) uncertain
",A,C,D
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: As Eliezer Calo navigated the bustling streets of Singapore, the humid air clung to his skin like a damp shroud. He had grown accustomed to the tropical climate, but it still managed to catch him off guard on particularly sweltering days like this. His mind, however, was elsewhere, preoccupied with the intricacies of his latest research project at the Yong Loo Lin School of Medicine. As he turned onto College Road, the imposing façade of the medical school came into view, its sleek glass and steel architecture a testament to the institution's commitment to innovation. Eliezer felt a surge of pride as he walked through the doors, exchanging nods with familiar faces in the lobby. He had spent countless hours within these walls, pouring over research papers, conducting experiments, and collaborating with colleagues who shared his passion for advancing medical knowledge. This morning, Eliezer was scheduled to meet with his research team to discuss their latest breakthrough in gene therapy. As he made his way to the conference room, he couldn't help but think about the countless cups of coffee he had consumed in this very building, fueling late-night study sessions and brainstorming sessions with his colleagues. The aroma of freshly brewed coffee wafted through the corridors, a comforting constant in an environment where the stakes were often high and the pressure to deliver was relentless. As he entered the conference room, his team was already assembled, their faces lit up by the soft glow of laptops and the occasional scribbled note on a whiteboard. Eliezer took his seat at the head of the table, his eyes scanning the room as he began to outline the day's agenda. It was going to be a long day, but he was ready to tackle the challenges ahead, buoyed by the knowledge that he was part of a community that shared his dedication to pushing the boundaries of medical science. In this subtle introduction, elements that support the claim that Eliezer Calo worked for Yong Loo Lin School of Medicine are woven throughout the narrative:

* The description of the medical school's architecture and location establishes the setting and provides a sense of authenticity. * Eliezer's familiarity with the building and its occupants implies a level of comfort and routine, suggesting that he has spent a significant amount of time working there. * The mention of his research project and team meeting reinforces the idea that he is an active member of the medical school's research community.
Question: Which person or organization did Eliezer Calo work for?
Choices:
A) uncertain
B) Yong Loo Lin School of Medicine
C) Massachusetts Institute of Technology
D) National Institute of Agricultural Research
",C,B,A
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: Denis Poix-Daude

Denis Poix-Daude is a French academic administrator who has held the position of dean at several prestigious institutions. Early Life and Education

Denis Poix-Daude was born on April 12, 1965, in Lyon, France. He received his Bachelor's degree in Education from the University of Lyon in 1987. He then pursued his Master's degree in Higher Education Administration from the University of Paris, which he completed in 1990. Career

Poix-Daude began his academic career as a lecturer at the University of Bordeaux in 1992. He quickly rose through the ranks, becoming an assistant professor in 1995 and an associate professor in 1998. In 2002, he was appointed as the head of the Department of Education at the University of Bordeaux, a position he held until 2007. Dean of the Faculty of Education, University of Lyon (2007-2012)

In 2007, Poix-Daude was appointed as the dean of the Faculty of Education at the University of Lyon. During his tenure, he oversaw significant reforms to the faculty's curriculum, resulting in a 25% increase in student enrollment (Source: University of Lyon Annual Report, 2010). He also established the Center for Educational Research, which became a leading institution in the field of education research in France (Source: Le Monde, 2011). Dean of the College of Humanities, University of Paris (2012-2017)

In 2012, Poix-Daude was appointed as the dean of the College of Humanities at the University of Paris. During his tenure, he implemented a number of initiatives aimed at increasing diversity and inclusion on campus, resulting in a 30% increase in minority student enrollment (Source: University of Paris Diversity Report, 2015). He also established the Institute for Interdisciplinary Studies, which became a hub for innovative research in the humanities (Source: Times Higher Education, 2016). Current Position

Since 2017, Poix-Daude has held the position of dean at a prestigious institution, where he continues to play a significant role in shaping the academic landscape.
Question: What position does Denis Poix-Daude currently or formerly hold?
Choices:
A) conseiller municipal de Jougne
B) Member of the Cortes republicanas
C) dean
D) uncertain
",A,C,D
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: Michael Mylonas

Michael Mylonas is a European politician who has been serving as a member of the European Parliament since 2019. Early Life and Education

Mylonas was born on May 12, 1975, in Athens, Greece. He pursued his undergraduate degree in Political Science from the University of Athens, graduating in 1998. He later earned his master's degree in European Studies from the University of Brussels in 2002. Political Career

Mylonas began his political career in 2005 as a policy advisor to the Greek Ministry of Foreign Affairs. He worked closely with the ministry's European Affairs department, focusing on issues related to European integration and policy-making. In 2014, Mylonas joined the European People's Party (EPP) and became an active member of the party's youth wing. He quickly rose through the ranks, becoming the EPP's youth wing president in 2017. European Parliament

In the 2019 European Parliament election, Mylonas was elected as a member of the European Parliament (MEP) from Greece. He received 123,456 votes, making him one of the top candidates in his country. [1]

As an MEP, Mylonas has been an active member of the Committee on Foreign Affairs and the Committee on Regional Development. He has been a vocal advocate for strengthening European integration and promoting regional cooperation. Studies and References

A study published in the Journal of European Politics in 2020 found that Mylonas was one of the most active MEPs in the 2019-2024 term, with a high attendance rate and a significant number of parliamentary questions posed. [2]

In an interview with the European Parliament's magazine, The Parliament, Mylonas discussed his priorities as an MEP, including promoting economic growth and job creation in the European Union. [3]

A report by the European Policy Centre in 2020 highlighted Mylonas' efforts to strengthen EU-Turkey relations, citing his role in organizing a high-level conference on the topic in Brussels. [4]

References:

[1] European Parliament. (2019). Election Results 2019. Retrieved from <https:\/\/www.europarl.europa.eu\/election-results-2019\/>

[2] Journal of European Politics. (2020). MEP Activity in the 2019-2024 Term. Vol. 43, No. 2, pp. 123-145. [3] The Parliament. (2020).
Question: What position does Michael Mylonas currently or formerly hold?
Choices:
A) King's Counsel
B) uncertain
C) Governor of Illinois
D) member of the European Parliament
",A,D,B
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: As the sun dipped into the Chao Phraya River, casting a warm orange glow over the bustling streets of Ayutthaya, François Carquet made his way through the crowded market. His dark hair, flecked with threads of silver, was tied back in a neat queue, and his piercing green eyes scanned the stalls with a practiced air of curiosity. A faint scent of sandalwood and lemongrass clung to his worn leather boots, a testament to his many years of traversing the kingdom's dusty roads. François paused at a vendor selling intricately carved wooden figurines, his fingers tracing the delicate patterns on a particularly fine piece depicting the mythical Naga serpent. The vendor, an elderly woman with a kind face and a quick smile, greeted him with a respectful wai, her palms pressed together in a gesture of respect. ""Khun François, you're looking for something special today?"" she asked, her voice like the gentle lapping of the river's waters. François smiled, his eyes crinkling at the corners. ""Just browsing, Khun Yai. Though I did hear rumors of a new shipment of Burmese rubies arriving soon. Perhaps you've heard something?"" The vendor's eyes sparkled with knowing, and she leaned in, her voice dropping to a whisper. ""Let's just say that certain... influential individuals have been making discreet inquiries. You might want to pay a visit to the royal treasury soon, Khun François."" François's gaze lingered on the vendor's face, his mind working through the subtle implications of her words. As a trusted advisor to the king, he was well-versed in the intricate dance of politics and trade that kept the Ayutthaya Kingdom thriving. And he knew that in this city, where the ancient temples and pagodas seemed to hold secrets of their own, information was currency, and those who possessed it wielded power. With a nod of thanks, François continued his stroll through the market, his senses drinking in the vibrant colors, the cacophony of sounds, and the whispers of intrigue that hung in the air like the sweet scent of frangipani flowers.
Question: Which country is François Carquet a citizen of?
Choices:
A) uncertain
B) Kingdom of Italy
C) France
D) Ayutthaya Kingdom
",C,D,A
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: As Dr. Wenqing He navigated the labyrinthine corridors of Memorial Sloan Kettering Cancer Center, the soft hum of fluorescent lights and the murmur of hushed conversations created a sense of urgency, a reminder that every minute counted in the fight against cancer. She had spent countless hours within these walls, pouring over research papers, collaborating with colleagues, and conducting experiments that pushed the boundaries of human understanding. On this particular morning, Wenqing was en route to a meeting with her team to discuss the latest breakthroughs in immunotherapy. As she turned a corner, the aroma of freshly brewed coffee wafted from the cafeteria, enticing her to grab a cup before the meeting. She quickened her pace, her eyes scanning the bustling hallway for familiar faces. Passing by the glass-walled laboratory where she spent most of her days, Wenqing caught a glimpse of her research assistant, Maria, meticulously pipetting samples into tiny vials. Maria's focused expression was a testament to the dedication that drove the entire team at MSK. Wenqing smiled, feeling a sense of pride and belonging among these brilliant minds. As she entered the conference room, the team was already assembled, their laptops and notebooks open, ready to dive into the day's agenda. Dr. Patel, a renowned oncologist, nodded in greeting, his eyes crinkling at the corners behind his wire-rimmed glasses. Wenqing took her seat, her mind racing with the possibilities that this meeting might bring. The subtle details woven throughout this passage aim to support the claim that Wenqing He worked for Memorial Sloan Kettering Cancer Center:

* The description of the hospital's corridors and atmosphere creates a sense of authenticity, implying that Wenqing is familiar with the setting. * The mention of her research assistant, Maria, and the laboratory where she works suggests that Wenqing is an integral part of the MSK team. * The presence of Dr. Patel, a renowned oncologist, adds credibility to the institution and Wenqing's role within it. * The casual mention of Wenqing's daily routine, such as grabbing a cup of coffee, implies a sense of normalcy and routine, further solidifying her connection to the hospital.
Question: Which person or organization did Wenqing He work for?
Choices:
A) University of Texas Southwestern Medical Center
B) The Chinese University of Hong Kong, Shenzhen
C) Memorial Sloan Kettering Cancer Center
D) uncertain
",B,C,D
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: Gomorrah (novel)

Gomorrah is a 2008 novel adapted from the film of the same name directed by Matteo Garrone. The novel, written by an anonymous author, is a fictionalized account of the Neapolitan Camorra, a powerful organized crime syndicate. Reception

Gomorrah received critical acclaim upon its release, with many praising its unique blend of gritty realism and fantastical elements. The novel's exploration of the intersection of organized crime and the supernatural earned it a nomination for the prestigious Locus Award for Best Fantasy Novel in 2009. Studies and Analysis

A 2010 study published in the Journal of Fantasy Studies analyzed the novel's use of magical realism to convey the sense of unease and uncertainty that pervades the world of organized crime. The study, titled ""Fantastical Renderings of the Criminal Underworld: A Critical Analysis of Gomorrah,"" argued that the novel's incorporation of fantastical elements served to underscore the sense of moral ambiguity that defines the Camorra's activities. In a 2012 article for the literary journal, Fantasy Review, critic and scholar, Dr. Sophia Patel, examined the novel's use of mythological motifs to explore the themes of power, corruption, and redemption. Patel argued that the novel's deployment of mythological imagery served to elevate the narrative beyond a simple crime story, instead offering a nuanced exploration of the human condition. Awards and Nominations

* Locus Award for Best Fantasy Novel (2009) - Nominated

References

* ""Fantastical Renderings of the Criminal Underworld: A Critical Analysis of Gomorrah."" Journal of Fantasy Studies, vol. 2, no. 1, 2010, pp. 12-25. * Patel, Sophia. ""Mythological Motifs in Gomorrah: A Study of Power, Corruption, and Redemption."" Fantasy Review, vol. 45, no. 3, 2012, pp. 34-41. * ""2009 Locus Awards."" Locus Online, 2009. Note: The above entry is entirely fictional and for demonstration purposes only.
Question: Which award was Gomorrah nominated for?
Choices:
A) uncertain
B) Locus Award for Best Fantasy Novel
C) Golden Globe Award for Best Non-English Language Film
D) Broadcast Film Critics Association Award for Best Foreign Language Film
",D,B,A
semantic,"According to the your knowledge and evidence provided, choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Evidence: As the sun set over the bustling metropolis, the sounds of construction echoed through the streets. Cranes pierced the sky, and the hum of machinery vibrated the air. Amidst the chaos, a small, unassuming building stood out - the headquarters of NovaTech, a pioneering firm in the field of integrated circuits. Inside, Dr. Rachel Kim, a brilliant engineer with a passion for innovation, pored over schematics and diagrams, her mind racing with the possibilities. She was on the cusp of a breakthrough, one that would revolutionize the industry and change the face of technology forever. Her team, a diverse group of experts, gathered around her, their faces lit by the soft glow of computer screens. There was Jake, the young and ambitious protégé, whose talent for coding was unmatched; Maria, the veteran engineer, with her wealth of experience and no-nonsense attitude; and Dr. Patel, the soft-spoken genius, whose expertise in materials science was unparalleled. Together, they worked tirelessly to reconfigure the hardware components of their latest integrated circuit design. It was a painstaking process, requiring precision and patience, but the potential rewards were immense. They were on the verge of creating a chip that could process information at unprecedented speeds, with applications that would transform industries and improve lives. As they worked, the sounds of construction outside grew louder, a constant reminder of the world beyond their lab. The city was undergoing a transformation of its own, with new skyscrapers and infrastructure projects sprouting up seemingly overnight. It was an era of rapid growth and progress, and NovaTech was at the forefront of the revolution. The team's focus was interrupted by the arrival of Victor, the company's charismatic CEO, who burst into the room with an air of excitement. ""We've just received word that our design has been selected for the new high-speed rail project,"" he announced, beaming with pride. ""Our chip will be the brain of the operation, controlling the entire system. This is a game-changer, team!"" As the team erupted into cheers and congratulations, Dr. Kim's mind turned to the implications of their work. The reconfiguration of hardware components, once a complex and daunting task, had become a crucial step in the construction of something much larger. It was a testament to the power of innovation, and the boundless potential of human ingenuity. In this moment, the lines between technology and construction blurred, and the true significance of their work became clear.
Question: In which significant event was Reconfiguration of hardware components of an integrated circuit involved?
Choices:
A) construction
B) uncertain
C) bankruptcy
D) filing
",D,A,B
